year,title,ndc_code,genre,genre_major,location,creator_normalized
1817,南畝莠言 2巻,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,不明,その他
1846,即席噺,913.59,913.59:小説．物語/近世：江戸時代/咄本：醒睡笑,小説．物語,不明,その他
1845,去来抄,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,不明,その他
1813,参考伊勢物語 : 2巻,913.3,913.3:日本文学/小説．物語/古代後期［中古］：平安時代,日本文学,不明,その他
1833,取方必用冠附芦わけ道 2巻,911.49,911.49:詩歌/川柳．狂句/雑俳：前句付，冠付，物は付，沓付，折句,詩歌,不明,その他
1839,古人五百題句集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,江戸,その他
1826,古今和歌集 : 20巻,911.1351,911.1351:古代後期［中古］：平安時代/勅撰集．八代集/古今和歌集,古代後期［中古］：平安時代,大阪,その他
1835,古今和歌集正義,911.13,911.13:詩歌/和歌．短歌/古代後期［中古］：平安時代,詩歌,京都,香川 景樹
1830,古今集三鳥三木弁 : 草稿,911.1351,911.1351:古代後期［中古］：平安時代/勅撰集．八代集/古今和歌集,古代後期［中古］：平安時代,不明,中島 広足
1816,古今集序考,911.1351,911.1351:古代後期［中古］：平安時代/勅撰集．八代集/古今和歌集,古代後期［中古］：平安時代,不明,賀茂 真淵
1816,古今集遠鏡,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,名古屋,その他
1837,古風三躰考,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,大阪,その他
1818,句題和歌,911.138,911.138:和歌．短歌/古代後期［中古］：平安時代/家集,和歌．短歌,不明,その他
1802,吉原談語,913.53,913.53:小説．物語/近世：江戸時代/洒落本：山東京伝，大田南畝,小説．物語,不明,十返舎一九
1801,和哥八重垣 : 7巻,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,江戸,その他
1827,和歌ふるの山ふみ : 4巻,911,911:日本文学/詩歌,日本文学,京都,その他
