year,title,ndc_code,genre,genre_major,location,creator_normalized,genre_norm,period
1824,梧窓漫筆後篇 : 2巻,914,914:日本文学/評論．エッセイ．随筆,日本文学,江戸,その他,随筆,1801-1829 化政期
1859,楢乃落葉 : 2巻,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,大阪,その他,和歌・短歌,1844-1867 幕末期
1861,楳吉野,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,その他,その他,俳諧,1844-1867 幕末期
1821,槻乃落葉信濃漫録,914,914:日本文学/評論．エッセイ．随筆,日本文学,名古屋,その他,随筆,1801-1829 化政期
1833,橋供養 : 5巻,913.56,913.56:小説．物語/近世：江戸時代/読本：滝沢馬琴，上田秋成,小説．物語,大阪,その他,小説・物語,1830-1843 天保期
1826,橘庵漫筆,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,大阪,その他,随筆,1801-1829 化政期
1825,橘菴漫筆,914,914:日本文学/評論．エッセイ．随筆,日本文学,大阪,その他,随筆,1801-1829 化政期
1849,歌俳百人撰,911,911:日本文学/詩歌,日本文学,江戸,その他,詩歌（その他）,1844-1867 幕末期
1852,歌城歌集 : 4巻追加1巻,911.15,911.15:詩歌/和歌．短歌/近世：江戸時代,詩歌,大阪,その他,和歌・短歌,1844-1867 幕末期
1852,歌格類選,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,京都,その他,和歌・短歌,1844-1867 幕末期
1857,武蔵野集 : 2編,911.15,911.15:詩歌/和歌．短歌/近世：江戸時代,詩歌,江戸,その他,和歌・短歌,1844-1867 幕末期
1838,比那能歌語,91,91:文学/日本文学,文学,その他,その他,日本文学（その他）,1830-1843 天保期
1845,沙鴎発句集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,名古屋,その他,俳諧,1844-1867 幕末期
1862,河藻集,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,名古屋,その他,和歌・短歌,1844-1867 幕末期
1846,流行噺図絵,913.7,913.7:日本文学/小説．物語/講談・落語本．笑話集,日本文学,大阪,その他,小説・物語,1844-1867 幕末期
1824,浅井三代軍記,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,大阪,不明,小説・物語,1801-1829 化政期
1845,浦のしほ貝 : 3巻,911.15,911.15:詩歌/和歌．短歌/近世：江戸時代,詩歌,その他,その他,和歌・短歌,1844-1867 幕末期
1849,浪華四時雑詞,919,919:日本文学/漢詩文．日本漢文学,日本文学,大阪,不明,漢詩文,1844-1867 幕末期
1825,消閑雑記,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,大阪,その他,随筆,1801-1829 化政期
1820,清話抄 : 2巻,911.19,911.19:詩歌/和歌．短歌/狂歌．へなぶり,詩歌,江戸,その他,狂歌,1801-1829 化政期
